origin_id,LCODE_C1,LCODE_C2,LCODE_C3,C1_NAME,C2_NAME,C3_NAME,time_to_medical_min,time_to_shelter_min,medical_access_score_normal,shelter_access_score_normal,x_3826,y_3826,nearest_medical_id_Q1point1,time_to_medical_min_Q1point1,medical_access_score_Q1point1,nearest_shelter_id_Q1point1,time_to_shelter_min_Q1point1,shelter_access_score_Q1point1,nearest_medical_id_Q10,time_to_medical_min_Q10,medical_access_score_Q10,nearest_shelter_id_Q10,time_to_shelter_min_Q10,shelter_access_score_Q10,nearest_medical_id_Q25,time_to_medical_min_Q25,medical_access_score_Q25,nearest_shelter_id_Q25,time_to_shelter_min_Q25,shelter_access_score_Q25,nearest_medical_id_Q50,time_to_medical_min_Q50,medical_access_score_Q50,nearest_shelter_id_Q50,time_to_shelter_min_Q50,shelter_access_score_Q50,nearest_medical_id_Q100,time_to_medical_min_Q100,medical_access_score_Q100,nearest_shelter_id_Q100,time_to_shelter_min_Q100,shelter_access_score_Q100
29,05,0502,050201,建築使用土地,住宅,純住宅,6.679694457902053,0.4873557166823854,0.7773435180699315,0.9837548094439205,232056.11735049568,2432683.7119785966,,,0.0,0.0,0.4873557166823854,0.9837548094439205,,,0.0,0.0,0.4873557166823854,0.9837548094439205,,,0.0,0.0,0.4873557166823854,0.9837548094439205,,,0.0,0.0,0.4873557166823854,0.9837548094439205,,,0.0,0.0,0.4873557166823854,0.9837548094439205
30,05,0502,050201,建築使用土地,住宅,純住宅,6.300729708588194,0.9379727553249162,0.7899756763803936,0.9687342414891694,231823.22346518983,2432619.677476215,,,0.0,0.0,0.9379727553249162,0.9687342414891694,,,0.0,0.0,0.9379727553249162,0.9687342414891694,,,0.0,0.0,0.9379727553249162,0.9687342414891694,,,0.0,0.0,0.9379727553249162,0.9687342414891694,,,0.0,0.0,0.9379727553249162,0.9687342414891694
31,05,0502,050201,建築使用土地,住宅,純住宅,6.057113606518738,0.6943566532554601,0.7980962131160421,0.976854778224818,231793.3749311186,2432588.8406462213,,,0.0,0.0,0.6943566532554601,0.976854778224818,,,0.0,0.0,0.6943566532554601,0.976854778224818,,,0.0,0.0,0.6943566532554601,0.976854778224818,,,0.0,0.0,0.6943566532554601,0.976854778224818,,,0.0,0.0,0.6943566532554601,0.976854778224818
32,05,0502,050201,建築使用土地,住宅,純住宅,5.9014328276682795,1.141485746769043,0.8032855724110574,0.9619504751076986,231691.30727618962,2432819.437352534,,,0.0,0.0,1.141485746769043,0.9619504751076986,,,0.0,0.0,1.141485746769043,0.9619504751076986,,,0.0,0.0,1.141485746769043,0.9619504751076986,,,0.0,0.0,1.141485746769043,0.9619504751076986,,,0.0,0.0,1.141485746769043,0.9619504751076986
33,05,0502,050201,建築使用土地,住宅,純住宅,5.1119503945674,1.67885979620283,0.82960165351442,0.944038006793239,231660.35427478867,2433214.9531151215,,,0.0,0.0,1.8551423831792113,0.9381619205606929,,,0.0,0.0,1.8551423831792113,0.9381619205606929,,,0.0,0.0,1.8551423831792113,0.9381619205606929,,,0.0,0.0,1.8551423831792113,0.9381619205606929,,,0.0,0.0,1.8551423831792113,0.9381619205606929
34,05,0502,050201,建築使用土地,住宅,純住宅,5.004139135581192,1.5710485372166225,0.8331953621472936,0.9476317154261126,231631.8009826204,2433353.125264247,,,0.0,0.0,1.7473311241930038,0.9417556291935666,,,0.0,0.0,1.7473311241930038,0.9417556291935666,,,0.0,0.0,1.7473311241930038,0.9417556291935666,,,0.0,0.0,1.7473311241930038,0.9417556291935666,,,0.0,0.0,1.7473311241930038,0.9417556291935666
35,05,0502,050201,建築使用土地,住宅,純住宅,5.004139135581192,1.5710485372166225,0.8331953621472936,0.9476317154261126,231601.77133808637,2433330.6073863814,,,0.0,0.0,1.7473311241930038,0.9417556291935666,,,0.0,0.0,1.7473311241930038,0.9417556291935666,,,0.0,0.0,1.7473311241930038,0.9417556291935666,,,0.0,0.0,1.7473311241930038,0.9417556291935666,,,0.0,0.0,1.7473311241930038,0.9417556291935666
36,05,0502,050201,建築使用土地,住宅,純住宅,5.1119503945674,1.67885979620283,0.82960165351442,0.944038006793239,231547.6409239478,2433320.416471025,,,0.0,0.0,1.8551423831792113,0.9381619205606929,,,0.0,0.0,1.8551423831792113,0.9381619205606929,,,0.0,0.0,1.8551423831792113,0.9381619205606929,,,0.0,0.0,1.8551423831792113,0.9381619205606929,,,0.0,0.0,1.8551423831792113,0.9381619205606929
37,05,0502,050201,建築使用土地,住宅,純住宅,5.173225042844229,1.661004973620501,0.8275591652385257,0.9446331675459833,231056.13182793724,2433371.968782654,2.0,12.188051622803638,0.593731612573212,2.0,8.754961024439067,0.708167965852031,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
38,05,0502,050201,建築使用土地,住宅,純住宅,7.736984645761573,1.6533971193105974,0.7421005118079476,0.9448867626896468,232712.28900258965,2432805.185193195,,,0.0,0.0,1.6533971193105974,0.9448867626896468,,,0.0,0.0,1.6533971193105974,0.9448867626896468,,,0.0,0.0,1.6533971193105974,0.9448867626896468,,,0.0,0.0,1.6533971193105974,0.9448867626896468,,,0.0,0.0,1.6533971193105974,0.9448867626896468
39,05,0502,050201,建築使用土地,住宅,純住宅,7.560385618295052,1.4767980918440755,0.7479871460568316,0.9507733969385308,232644.01977825855,2432810.780228055,,,0.0,0.0,1.4767980918440755,0.9507733969385308,,,0.0,0.0,1.4767980918440755,0.9507733969385308,,,0.0,0.0,1.4767980918440755,0.9507733969385308,,,0.0,0.0,1.4767980918440755,0.9507733969385308,,,0.0,0.0,1.4767980918440755,0.9507733969385308
40,05,0502,050201,建築使用土地,住宅,純住宅,7.809594652830653,1.726007126379678,0.7396801782389782,0.9424664291206774,232617.25673745363,2432827.773976395,,,0.0,0.0,1.726007126379678,0.9424664291206774,,,0.0,0.0,1.726007126379678,0.9424664291206774,,,0.0,0.0,1.726007126379678,0.9424664291206774,,,0.0,0.0,1.726007126379678,0.9424664291206774,,,0.0,0.0,1.726007126379678,0.9424664291206774
41,05,0502,050201,建築使用土地,住宅,純住宅,7.682701153593732,1.5991136271427564,0.7439099615468756,0.9466962124285748,232526.69803643212,2432714.354187435,,,0.0,0.0,1.5991136271427564,0.9466962124285748,,,0.0,0.0,1.5991136271427564,0.9466962124285748,,,0.0,0.0,1.5991136271427564,0.9466962124285748,,,0.0,0.0,1.5991136271427564,0.9466962124285748,,,0.0,0.0,1.5991136271427564,0.9466962124285748
42,05,0502,050201,建築使用土地,住宅,純住宅,6.886811204954081,0.8032236785031044,0.7704396265015306,0.9732258773832299,232537.64123660504,2432662.1958296574,,,0.0,0.0,0.8032236785031044,0.9732258773832299,,,0.0,0.0,0.8032236785031044,0.9732258773832299,,,0.0,0.0,0.8032236785031044,0.9732258773832299,,,0.0,0.0,0.8032236785031044,0.9732258773832299,,,0.0,0.0,0.8032236785031044,0.9732258773832299
43,05,0502,050201,建築使用土地,住宅,純住宅,6.886811204954081,0.8032236785031044,0.7704396265015306,0.9732258773832299,232482.60319820166,2432651.855912729,,,0.0,0.0,0.8032236785031044,0.9732258773832299,,,0.0,0.0,0.8032236785031044,0.9732258773832299,,,0.0,0.0,0.8032236785031044,0.9732258773832299,,,0.0,0.0,0.8032236785031044,0.9732258773832299,,,0.0,0.0,0.8032236785031044,0.9732258773832299
44,05,0502,050201,建築使用土地,住宅,純住宅,6.7651463879683496,0.3545446524091853,0.7744951204010551,0.9881818449196939,232220.3145737666,2432671.2147754044,,,0.0,0.0,0.3545446524091853,0.9881818449196939,,,0.0,0.0,0.3545446524091853,0.9881818449196939,,,0.0,0.0,0.3545446524091853,0.9881818449196939,,,0.0,0.0,0.3545446524091853,0.9881818449196939,,,0.0,0.0,0.3545446524091853,0.9881818449196939
45,05,0502,050201,建築使用土地,住宅,純住宅,6.590902249309345,0.507314722858369,0.7803032583563552,0.9830895092380544,232204.54564277967,2432600.480402561,,,0.0,0.0,0.507314722858369,0.9830895092380544,,,0.0,0.0,0.507314722858369,0.9830895092380544,,,0.0,0.0,0.507314722858369,0.9830895092380544,,,0.0,0.0,0.507314722858369,0.9830895092380544,,,0.0,0.0,0.507314722858369,0.9830895092380544
46,05,0502,050201,建築使用土地,住宅,純住宅,6.502984228342316,0.2484860314318812,0.7832338590552561,0.991717132285604,232067.37264649253,2432580.136343738,,,0.0,0.0,0.2484860314318812,0.991717132285604,,,0.0,0.0,0.2484860314318812,0.991717132285604,,,0.0,0.0,0.2484860314318812,0.991717132285604,,,0.0,0.0,0.2484860314318812,0.991717132285604,,,0.0,0.0,0.2484860314318812,0.991717132285604
47,05,0502,050201,建築使用土地,住宅,純住宅,6.554394914876583,0.6036711866566242,0.7815201695041138,0.9798776271114459,231949.02357319786,2432646.802815686,,,0.0,0.0,0.6036711866566242,0.9798776271114459,,,0.0,0.0,0.6036711866566242,0.9798776271114459,,,0.0,0.0,0.6036711866566242,0.9798776271114459,,,0.0,0.0,0.6036711866566242,0.9798776271114459,,,0.0,0.0,0.6036711866566242,0.9798776271114459
48,05,0502,050201,建築使用土地,住宅,純住宅,6.596912657907407,1.3595025044365654,0.7801029114030864,0.9546832498521145,231876.62412600341,2432744.1597988084,,,0.0,0.0,1.3595025044365654,0.9546832498521145,,,0.0,0.0,1.3595025044365654,0.9546832498521145,,,0.0,0.0,1.3595025044365654,0.9546832498521145,,,0.0,0.0,1.3595025044365654,0.9546832498521145,,,0.0,0.0,1.3595025044365654,0.9546832498521145
49,05,0502,050201,建築使用土地,住宅,純住宅,6.300729708588194,0.9379727553249162,0.7899756763803936,0.9687342414891694,231878.6698615869,2432613.184800086,,,0.0,0.0,0.9379727553249162,0.9687342414891694,,,0.0,0.0,0.9379727553249162,0.9687342414891694,,,0.0,0.0,0.9379727553249162,0.9687342414891694,,,0.0,0.0,0.9379727553249162,0.9687342414891694,,,0.0,0.0,0.9379727553249162,0.9687342414891694
50,05,0502,050201,建築使用土地,住宅,純住宅,6.300729708588194,0.9379727553249162,0.7899756763803936,0.9687342414891694,231846.15091515362,2432652.2903201077,,,0.0,0.0,0.9379727553249162,0.9687342414891694,,,0.0,0.0,0.9379727553249162,0.9687342414891694,,,0.0,0.0,0.9379727553249162,0.9687342414891694,,,0.0,0.0,0.9379727553249162,0.9687342414891694,,,0.0,0.0,0.9379727553249162,0.9687342414891694
51,05,0502,050201,建築使用土地,住宅,純住宅,6.447759513519755,1.2103493600489128,0.7850746828826748,0.9596550213317029,231803.884291155,2432700.7215756536,,,0.0,0.0,1.2103493600489128,0.9596550213317029,,,0.0,0.0,1.2103493600489128,0.9596550213317029,,,0.0,0.0,1.2103493600489128,0.9596550213317029,,,0.0,0.0,1.2103493600489128,0.9596550213317029,,,0.0,0.0,1.2103493600489128,0.9596550213317029
52,05,0502,050201,建築使用土地,住宅,純住宅,7.10373175447499,1.6375123991845255,0.7632089415175003,0.9454162533605158,231184.44437950678,2432492.1586892363,,,0.0,0.0,4.622173240012501,0.84592755866625,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
53,05,0502,050201,建築使用土地,住宅,純住宅,7.10373175447499,1.6375123991845255,0.7632089415175003,0.9454162533605158,231030.01950140166,2432757.342241623,,,0.0,0.0,4.622173240012501,0.84592755866625,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
54,05,0502,050203,建築使用土地,住宅,兼商業使用住宅,7.196917237264624,1.1133297108136468,0.7601027587578458,0.9628890096395452,232750.6792331221,2432690.1231865752,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452
55,05,0502,050201,建築使用土地,住宅,純住宅,7.736984645761573,1.6533971193105974,0.7421005118079476,0.9448867626896468,232753.07090250702,2432829.017481865,,,0.0,0.0,1.6533971193105974,0.9448867626896468,,,0.0,0.0,1.6533971193105974,0.9448867626896468,,,0.0,0.0,1.6533971193105974,0.9448867626896468,,,0.0,0.0,1.6533971193105974,0.9448867626896468,,,0.0,0.0,1.6533971193105974,0.9448867626896468
56,05,0502,050201,建築使用土地,住宅,純住宅,7.45129527279627,1.3677077463452938,0.751623490906791,0.9544097417884903,232733.12560059456,2432739.3662146414,,,0.0,0.0,1.3677077463452938,0.9544097417884903,,,0.0,0.0,1.3677077463452938,0.9544097417884903,,,0.0,0.0,1.3677077463452938,0.9544097417884903,,,0.0,0.0,1.3677077463452938,0.9544097417884903,,,0.0,0.0,1.3677077463452938,0.9544097417884903
57,05,0502,050201,建築使用土地,住宅,純住宅,7.560385618295052,1.4767980918440755,0.7479871460568316,0.9507733969385308,232671.57234455197,2432779.812654291,,,0.0,0.0,1.4767980918440755,0.9507733969385308,,,0.0,0.0,1.4767980918440755,0.9507733969385308,,,0.0,0.0,1.4767980918440755,0.9507733969385308,,,0.0,0.0,1.4767980918440755,0.9507733969385308,,,0.0,0.0,1.4767980918440755,0.9507733969385308
58,05,0502,050201,建築使用土地,住宅,純住宅,6.918379142970189,0.1669088831959918,0.7693873619009937,0.9944363705601336,232168.75046489274,2432656.306406089,,,0.0,0.0,0.1669088831959918,0.9944363705601336,,,0.0,0.0,0.1669088831959918,0.9944363705601336,,,0.0,0.0,0.1669088831959918,0.9944363705601336,,,0.0,0.0,0.1669088831959918,0.9944363705601336,,,0.0,0.0,0.1669088831959918,0.9944363705601336
59,05,0502,050201,建築使用土地,住宅,純住宅,6.918379142970189,0.1669088831959918,0.7693873619009937,0.9944363705601336,232156.78973322,2432594.4385537533,,,0.0,0.0,0.1669088831959918,0.9944363705601336,,,0.0,0.0,0.1669088831959918,0.9944363705601336,,,0.0,0.0,0.1669088831959918,0.9944363705601336,,,0.0,0.0,0.1669088831959918,0.9944363705601336,,,0.0,0.0,0.1669088831959918,0.9944363705601336
60,05,0502,050201,建築使用土地,住宅,純住宅,6.845170864386978,0.09370060461278058,0.7718276378537674,0.9968766465129073,232111.26370271298,2432636.033832639,,,0.0,0.0,0.09370060461278058,0.9968766465129073,,,0.0,0.0,0.09370060461278058,0.9968766465129073,,,0.0,0.0,0.09370060461278058,0.9968766465129073,,,0.0,0.0,0.09370060461278058,0.9968766465129073,,,0.0,0.0,0.09370060461278058,0.9968766465129073
61,05,0502,050201,建築使用土地,住宅,純住宅,6.108844807532331,0.642625452241867,0.7963718397489223,0.9785791515919378,231829.85912168055,2432582.7019580454,,,0.0,0.0,0.642625452241867,0.9785791515919378,,,0.0,0.0,0.642625452241867,0.9785791515919378,,,0.0,0.0,0.642625452241867,0.9785791515919378,,,0.0,0.0,0.642625452241867,0.9785791515919378,,,0.0,0.0,0.642625452241867,0.9785791515919378
62,05,0502,050201,建築使用土地,住宅,純住宅,6.447759513519755,1.2103493600489128,0.7850746828826748,0.9596550213317029,231811.0576487082,2432671.165088959,,,0.0,0.0,1.2103493600489128,0.9596550213317029,,,0.0,0.0,1.2103493600489128,0.9596550213317029,,,0.0,0.0,1.2103493600489128,0.9596550213317029,,,0.0,0.0,1.2103493600489128,0.9596550213317029,,,0.0,0.0,1.2103493600489128,0.9596550213317029
63,05,0502,050201,建築使用土地,住宅,純住宅,7.736984645761573,1.6533971193105974,0.7421005118079476,0.9448867626896468,232699.25765531664,2432840.804553226,,,0.0,0.0,1.6533971193105974,0.9448867626896468,,,0.0,0.0,1.6533971193105974,0.9448867626896468,,,0.0,0.0,1.6533971193105974,0.9448867626896468,,,0.0,0.0,1.6533971193105974,0.9448867626896468,,,0.0,0.0,1.6533971193105974,0.9448867626896468
64,05,0502,050201,建築使用土地,住宅,純住宅,7.196917237264624,1.1133297108136468,0.7601027587578458,0.9628890096395452,232747.8206186442,2432658.3131924313,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452
65,05,0502,050201,建築使用土地,住宅,純住宅,7.196917237264624,1.1133297108136468,0.7601027587578458,0.9628890096395452,232730.58649092252,2432707.9458020604,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452,,,0.0,0.0,1.1133297108136468,0.9628890096395452
66,05,0502,050201,建築使用土地,住宅,純住宅,7.434904399190528,1.351316872739552,0.7521698533603157,0.9549561042420149,232639.72673487128,2432758.067320679,,,0.0,0.0,1.351316872739552,0.9549561042420149,,,0.0,0.0,1.351316872739552,0.9549561042420149,,,0.0,0.0,1.351316872739552,0.9549561042420149,,,0.0,0.0,1.351316872739552,0.9549561042420149,,,0.0,0.0,1.351316872739552,0.9549561042420149
